,ccn,ccn_lat,ccn_lng,county,county_border_lat,county_border_lng,distance,driving_dist
0,310014,39.941517,-75.116804,42101,39.97693094562668,-75.27645720269209,8.799691455742288,11.0 mi
1,310014,39.941517,-75.116804,42101,39.981239652617504,-75.26695179351519,8.409544431324015,10.4 mi
2,310014,39.941517,-75.116804,42101,39.98595794902426,-75.25791874606698,8.076916429004816,9.8 mi
3,310014,39.941517,-75.116804,42101,39.99068844829957,-75.24891532213142,7.7750362569711555,9.2 mi
4,310014,39.941517,-75.116804,42101,39.995077989249815,-75.23946690836917,7.473521952645707,8.9 mi
5,310014,39.941517,-75.116804,42101,39.99952652348152,-75.23014443092849,7.214810575969455,8.5 mi
6,310014,39.941517,-75.116804,42101,40.003920011185215,-75.22067953856651,6.986731166736512,8.4 mi
7,310014,39.941517,-75.116804,42101,40.00833422820889,-75.21123546982533,6.8034185916344345,9.6 mi
8,310014,39.941517,-75.116804,42101,40.01358472516233,-75.20898188068126,6.970335551842162,9.4 mi
9,310014,39.941517,-75.116804,42101,40.01964154741137,-75.21653184569747,7.548688376256963,9.9 mi
10,310014,39.941517,-75.116804,42101,40.02456760762162,-75.2253422810855,8.118425162650915,10.2 mi
11,310014,39.941517,-75.116804,42101,40.029545321282356,-75.23411961776516,8.690351854150766,10.9 mi
12,310014,39.941517,-75.116804,42101,40.035412046919646,-75.24182981278416,9.265226587963193,11.5 mi
13,310014,39.941517,-75.116804,42101,40.041654573019045,-75.24883531341638,9.831722172833333,14.0 mi
14,310014,39.941517,-75.116804,42101,40.04719259423124,-75.25701935512205,10.408471091480424,13.2 mi
15,310014,39.941517,-75.116804,42101,40.053664234073246,-75.26405082577286,10.987106264577577,13.2 mi
16,310014,39.941517,-75.116804,42101,40.06013104662485,-75.25778894395933,11.080500841010721,20.8 mi
17,310014,39.941517,-75.116804,42101,40.06660717980558,-75.25076737177365,11.175765785140976,14.7 mi
18,310014,39.941517,-75.116804,42101,40.07309404496089,-75.24372235511784,11.300090451644767,15.5 mi
19,310014,39.941517,-75.116804,42101,40.079696151778286,-75.23695055671674,11.467435332625053,15.4 mi
20,310014,39.941517,-75.116804,42101,40.08617343105511,-75.2302930494554,11.657009514780993,16.7 mi
21,310014,39.941517,-75.116804,42101,40.09282316682221,-75.2237691072097,11.884763265691376,16.7 mi
22,310014,39.941517,-75.116804,42101,40.08800390037876,-75.21508877226812,11.37613257094332,14.2 mi
23,310014,39.941517,-75.116804,42101,40.08319027039852,-75.20657786429284,10.877525312498493,15.5 mi
24,310014,39.941517,-75.116804,42101,40.07804168999919,-75.1977985678042,10.358184818530221,14.9 mi
25,310014,39.941517,-75.116804,42101,40.073011404620225,-75.18893178938931,9.851915823897462,14.4 mi
26,310014,39.941517,-75.116804,42101,40.07908392812021,-75.18205581085743,10.10992115593594,15.0 mi
27,310014,39.941517,-75.116804,42101,40.08382045158388,-75.17502952922007,10.300786994133787,15.5 mi
28,310014,39.941517,-75.116804,42101,40.07865961588463,-75.16630896388021,9.82835003747673,14.9 mi
29,310014,39.941517,-75.116804,42101,40.07361188649872,-75.15742049702249,9.373924841791304,14.7 mi
30,310014,39.941517,-75.116804,42101,40.06859874550634,-75.14851024525781,8.936871780433092,14.6 mi
31,310014,39.941517,-75.116804,42101,40.06352440635307,-75.13969166639612,8.514072791592689,14.2 mi
32,310014,39.941517,-75.116804,42101,40.058341616592585,-75.131003994291,8.104417194646722,14.5 mi
33,310014,39.941517,-75.116804,42101,40.05321622772831,-75.1222751678321,7.72091166382147,14.2 mi
34,310014,39.941517,-75.116804,42101,40.04818043426661,-75.11343262503723,7.3698005664314366,14.3 mi
35,310014,39.941517,-75.116804,42101,40.04952772689836,-75.10633723404162,7.481234319623533,14.6 mi
36,310014,39.941517,-75.116804,42101,40.05450017581601,-75.0977445735858,7.8690652318189,12.7 mi
37,310014,39.941517,-75.116804,42101,40.060457588017016,-75.09054575477745,8.332325528991468,13.0 mi
38,310014,39.941517,-75.116804,42101,40.06624963798205,-75.09196292999478,8.715425442966977,13.7 mi
39,310014,39.941517,-75.116804,42101,40.07200453967345,-75.09356780326213,9.096716949175391,14.4 mi
40,310014,39.941517,-75.116804,42101,40.0786405691513,-75.08690521757612,9.602813545338758,14.4 mi
41,310014,39.941517,-75.116804,42101,40.084866592817306,-75.0796386750078,10.095013149372534,15.2 mi
42,310014,39.941517,-75.116804,42101,40.09108124392613,-75.07262938735889,10.591964564710382,15.5 mi
43,310014,39.941517,-75.116804,42101,40.097842547670496,-75.06616495799956,11.125289548515864,19.0 mi
44,310014,39.941517,-75.116804,42101,40.104547729108134,-75.0595961745263,11.660626811492186,19.3 mi
45,310014,39.941517,-75.116804,42101,40.110341443182456,-75.05198029124445,12.154957493162527,19.3 mi
46,310014,39.941517,-75.116804,42101,40.11600522848885,-75.04381544036856,12.655714069025807,23.1 mi
47,310014,39.941517,-75.116804,42101,40.121669874545994,-75.03572770777508,13.161923294115493,22.2 mi
48,310014,39.941517,-75.116804,42101,40.12734709324433,-75.02753703965851,13.676642242832706,21.6 mi
49,310014,39.941517,-75.116804,42101,40.13319562353775,-75.01960591535732,14.202776449758682,22.0 mi
50,310014,39.941517,-75.116804,42101,40.13645362566022,-75.01256140090076,14.5497736125228,21.8 mi
51,310014,39.941517,-75.116804,42101,40.13134581737471,-75.00384897785264,14.408812474254287,21.4 mi
52,310014,39.941517,-75.116804,42101,40.129916702435395,-74.99585339942185,14.500567329843474,21.2 mi
53,310014,39.941517,-75.116804,42101,40.127428149508994,-74.99388282407065,14.393324249095185,20.9 mi
