,ccn,ccn_lat,ccn_lng,county,county_border_lat,county_border_lng,distance,driving_dist
0,330264,41.503070799999996,-74.01517390000001,36119,40.99720456915639,-73.89397161452366,35.504442346683966,49.2 mi
1,330264,41.503070799999996,-74.01517390000001,36119,41.02318986963047,-73.89005727798938,33.777737443775294,46.7 mi
2,330264,41.503070799999996,-74.01517390000001,36119,41.049247563091825,-73.89140569602341,31.99891844405105,44.0 mi
3,330264,41.503070799999996,-74.01517390000001,36119,41.07519815532912,-73.89471858901301,30.208738679906823,46.9 mi
4,330264,41.503070799999996,-74.01517390000001,36119,41.10128395787536,-73.89242283340892,28.47448474217493,41.2 mi
5,330264,41.503070799999996,-74.01517390000001,36119,41.12724554237408,-73.88783395204489,26.78709307810541,34.6 mi
6,330264,41.503070799999996,-74.01517390000001,36119,41.152449336107274,-73.89407374879647,25.020074147161427,31.8 mi
7,330264,41.503070799999996,-74.01517390000001,36119,41.173388595487424,-73.91403218003549,23.368686382551136,31.8 mi
8,330264,41.503070799999996,-74.01517390000001,36119,41.197700296646964,-73.9270413341698,21.5824403462975,31.5 mi
9,330264,41.503070799999996,-74.01517390000001,36119,41.220099163614506,-73.94515532465138,19.8801239391156,26.6 mi
10,330264,41.503070799999996,-74.01517390000001,36119,41.241601299159996,-73.96122520282276,18.275882609579558,27.6 mi
11,330264,41.503070799999996,-74.01517390000001,36119,41.26397640204225,-73.96911390865044,16.686765676077002,22.4 mi
12,330264,41.503070799999996,-74.01517390000001,36119,41.28454190995602,-73.94745620856094,15.497097974588009,22.9 mi
13,330264,41.503070799999996,-74.01517390000001,36119,41.30236319174844,-73.96760366548558,14.080998369551306,26.3 mi
14,330264,41.503070799999996,-74.01517390000001,36119,41.322174783028935,-73.9790687612768,12.6343688457568,17.9 mi
15,330264,41.503070799999996,-74.01517390000001,36119,41.32591266943373,-73.9440088602656,12.780194165620156,20.5 mi
16,330264,41.503070799999996,-74.01517390000001,36119,41.329392644712335,-73.90901834437824,13.196807670990353,24.6 mi
17,330264,41.503070799999996,-74.01517390000001,36119,41.332962907330604,-73.87424965671664,13.832835449441495,25.5 mi
18,330264,41.503070799999996,-74.01517390000001,36119,41.33652117068842,-73.83916625266886,14.678579440587333,33.5 mi
19,330264,41.503070799999996,-74.01517390000001,36119,41.33998214656172,-73.8041043206249,15.69786682757529,31.6 mi
20,330264,41.503070799999996,-74.01517390000001,36119,41.34365879378678,-73.76911111529796,16.842564212314,35.1 mi
21,330264,41.503070799999996,-74.01517390000001,36119,41.347345927780474,-73.73417537374795,18.097301880308628,36.9 mi
22,330264,41.503070799999996,-74.01517390000001,36119,41.350958821088035,-73.6991217416912,19.4507664363568,36.2 mi
23,330264,41.503070799999996,-74.01517390000001,36119,41.35473804650954,-73.66406545735494,20.871767796104518,33.8 mi
24,330264,41.503070799999996,-74.01517390000001,36119,41.358115823178395,-73.62897164557248,22.367048824968165,36.6 mi
25,330264,41.503070799999996,-74.01517390000001,36119,41.361322209651604,-73.5937886244518,23.91821810864212,34.0 mi
26,330264,41.503070799999996,-74.01517390000001,36119,41.36502130476053,-73.55874150642984,25.487644503303205,35.4 mi
27,330264,41.503070799999996,-74.01517390000001,36119,41.35065179986585,-73.54636571167528,26.46454823544568,37.8 mi
28,330264,41.503070799999996,-74.01517390000001,36119,41.324550310038106,-73.54913455627805,27.10860546411321,41.8 mi
29,330264,41.503070799999996,-74.01517390000001,36119,41.29839752181946,-73.55040611555002,27.92397026684204,41.5 mi
30,330264,41.503070799999996,-74.01517390000001,36119,41.275725245295924,-73.53443351130869,29.448921323456503,50.6 mi
31,330264,41.503070799999996,-74.01517390000001,36119,41.253517545286726,-73.51584017060011,31.09556347397265,47.7 mi
32,330264,41.503070799999996,-74.01517390000001,36119,41.231164535402726,-73.49760099936243,32.75087133243114,48.7 mi
33,330264,41.503070799999996,-74.01517390000001,36119,41.210237723629476,-73.48802845385815,34.001765370452034,50.9 mi
34,330264,41.503070799999996,-74.01517390000001,36119,41.19679200522933,-73.51815209046919,33.34303170273817,55.2 mi
35,330264,41.503070799999996,-74.01517390000001,36119,41.18304493594663,-73.54804836609816,32.794216315698364,51.8 mi
36,330264,41.503070799999996,-74.01517390000001,36119,41.16934340522744,-73.5779127768653,32.33685124658929,53.2 mi
37,330264,41.503070799999996,-74.01517390000001,36119,41.15570627660004,-73.60785807774644,31.969547092939845,51.5 mi
38,330264,41.503070799999996,-74.01517390000001,36119,41.14230079538308,-73.6377050029069,31.69234759682141,52.6 mi
39,330264,41.503070799999996,-74.01517390000001,36119,41.128678487599394,-73.66769506014867,31.52379839992993,53.7 mi
40,330264,41.503070799999996,-74.01517390000001,36119,41.11464969995807,-73.69745918883716,31.489323724724393,52.5 mi
41,330264,41.503070799999996,-74.01517390000001,36119,41.10097470047854,-73.72723006364238,31.53825302098505,56.1 mi
42,330264,41.503070799999996,-74.01517390000001,36119,41.07887298578044,-73.71008269394287,33.305571058401846,54.8 mi
43,330264,41.503070799999996,-74.01517390000001,36119,41.05649754869104,-73.69183179691339,35.11711549514637,57.7 mi
44,330264,41.503070799999996,-74.01517390000001,36119,41.034530770073644,-73.6735625323403,36.904751318165935,58.8 mi
45,330264,41.503070799999996,-74.01517390000001,36119,41.01240243582443,-73.65540415471392,38.69984269805315,64.4 mi
46,330264,41.503070799999996,-74.01517390000001,36119,40.98801079211196,-73.6595683455823,40.08510865402384,65.7 mi
47,330264,41.503070799999996,-74.01517390000001,36119,40.968769616004344,-73.63624241424449,41.82676601841082,65.1 mi
