ccn,fips,old_cbsa,comparison_county_fips_list
070015,09005,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
140012,17103,16974,'17031', '17037', '17043', '17063', '17089', '17093', '17111', '17197'
140110,17099,16974,'17031', '17037', '17043', '17063', '17089', '17093', '17111', '17197'
140155,17091,16974,'17031', '17037', '17043', '17063', '17089', '17093', '17111', '17197'
140161,17105,16974,'17031', '17037', '17043', '17063', '17089', '17093', '17111', '17197'
140186,17091,16974,'17031', '17037', '17043', '17063', '17089', '17093', '17111', '17197'
150002,18089,16974,'17031', '17037', '17043', '17063', '17089', '17093', '17111', '17197'
150004,18089,16974,'17031', '17037', '17043', '17063', '17089', '17093', '17111', '17197'
150008,18089,16974,'17031', '17037', '17043', '17063', '17089', '17093', '17111', '17197'
150034,18089,16974,'17031', '17037', '17043', '17063', '17089', '17093', '17111', '17197'
150090,18089,16974,'17031', '17037', '17043', '17063', '17089', '17093', '17111', '17197'
150125,18089,16974,'17031', '17037', '17043', '17063', '17089', '17093', '17111', '17197'
150126,18089,16974,'17031', '17037', '17043', '17063', '17089', '17093', '17111', '17197'
150165,18089,16974,'17031', '17037', '17043', '17063', '17089', '17093', '17111', '17197'
150166,18089,16974,'17031', '17037', '17043', '17063', '17089', '17093', '17111', '17197'
180012,21093,31140,'18019', '18043', '18061', '18175', '21029', '21103', '21111', '21163', '21179', '21185', '21211', '21215', '21223'
180024,21155,31140,'18019', '18043', '18061', '18175', '21029', '21103', '21111', '21163', '21179', '21185', '21211', '21215', '21223'
180048,21021,31140,'18019', '18043', '18061', '18175', '21029', '21103', '21111', '21163', '21179', '21185', '21211', '21215', '21223'
310002,34013,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
310009,34013,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
310014,34007,37964,'42017', '42029', '42045', '42091', '42101'
310015,34027,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
310017,34027,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
310031,34005,20764,'34023', '34025', '34029', '34035'
310038,34023,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
310039,34023,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
310050,34027,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
310054,34013,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
310070,34023,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
310076,34013,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
310083,34013,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
310096,34013,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
310108,34023,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
310119,34013,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
330023,36027,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
330049,36027,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
330067,36027,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
330126,36071,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
330135,36071,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
330205,36071,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
330224,36111,39100,'36027', '36071'
330264,36071,35644,'34003', '34017', '34031', '36005', '36047', '36061', '36079', '36081', '36085', '36087', '36119'
340042,37133,48900,'37019', '37129', '37141'
340068,37047,48900,'37019', '37129', '37141'
420085,45051,48900,'37019', '37129', '37141'
510062,54081,16620,'54005', '54015', '54039', '54043', '54079'
510070,54081,16620,'54005', '54015', '54039', '54043', '54079'
