ccn,fips,old_cbsa,full_address,comparison_county_fips1,comparison_county_fips2,comparison_county_fips3,comparison_county_fips4,comparison_county_fips5,comparison_county_fips6,comparison_county_fips7,comparison_county_fips8,comparison_county_fips9,comparison_county_fips10,comparison_county_fips11,comparison_county_fips12,comparison_county_fips13,comparison_county_cbsa_change1,comparison_county_cbsa_change2,comparison_county_cbsa_change3,comparison_county_cbsa_change4,comparison_county_cbsa_change5,comparison_county_cbsa_change6,comparison_county_cbsa_change7,comparison_county_cbsa_change8,comparison_county_cbsa_change9,comparison_county_cbsa_change10,comparison_county_cbsa_change11,comparison_county_cbsa_change12,comparison_county_cbsa_change13,adjacent1,adjacent2,adjacent3,adjacent4,adjacent5,adjacent6,adjacent7,adjacent8,adjacent9,adjacent10,adjacent11,adjacent12,adjacent13
"310038","34023","35644","ONE ROBERT WOOD JOHNSON PL, NEW BRUNSWICK, NJ 08901","34003","34017","34031","36005","36047","36061","36079","36081","36085","36087","36119","","","35614","35614","35614","35614","35614","35614","20524","35614","35614","35614","35614","","",0,0,0,0,0,0,0,0,1,0,0,,
"310039","34023","35644","530 NEW BRUNSWICK AVE, PERTH AMBOY, NJ 08861","34003","34017","34031","36005","36047","36061","36079","36081","36085","36087","36119","","","35614","35614","35614","35614","35614","35614","20524","35614","35614","35614","35614","","",0,0,0,0,0,0,0,0,1,0,0,,
"310050","34027","35644","25 POCONO ROAD, DENVILLE, NJ 07834","34003","34017","34031","36005","36047","36061","36079","36081","36085","36087","36119","","","35614","35614","35614","35614","35614","35614","20524","35614","35614","35614","35614","","",0,0,1,0,0,0,0,0,0,0,0,,
"310054","34013","35644","BAY AND HIGHLAND AVE, MONTCLAIR, NJ 07042","34003","34017","34031","36005","36047","36061","36079","36081","36085","36087","36119","","","35614","35614","35614","35614","35614","35614","20524","35614","35614","35614","35614","","",1,1,1,0,0,0,0,0,0,0,0,,
"310070","34023","35644","254 EASTON AVE, NEW BRUNSWICK, NJ 08901","34003","34017","34031","36005","36047","36061","36079","36081","36085","36087","36119","","","35614","35614","35614","35614","35614","35614","20524","35614","35614","35614","35614","","",0,0,0,0,0,0,0,0,1,0,0,,
"310076","34013","35644","94 OLD SHORT HILLS ROAD, LIVINGSTON, NJ 07039","34003","34017","34031","36005","36047","36061","36079","36081","36085","36087","36119","","","35614","35614","35614","35614","35614","35614","20524","35614","35614","35614","35614","","",1,1,1,0,0,0,0,0,0,0,0,,
"310083","34013","35644","300 CENTRAL AVE, EAST ORANGE, NJ 07018","34003","34017","34031","36005","36047","36061","36079","36081","36085","36087","36119","","","35614","35614","35614","35614","35614","35614","20524","35614","35614","35614","35614","","",1,1,1,0,0,0,0,0,0,0,0,,
"310096","34013","35644","111 CENTRAL AVENUE, NEWARK, NJ 07102","34003","34017","34031","36005","36047","36061","36079","36081","36085","36087","36119","","","35614","35614","35614","35614","35614","35614","20524","35614","35614","35614","35614","","",1,1,1,0,0,0,0,0,0,0,0,,
"310108","34023","35644","65 JAMES STREET, EDISON, NJ 08818","34003","34017","34031","36005","36047","36061","36079","36081","36085","36087","36119","","","35614","35614","35614","35614","35614","35614","20524","35614","35614","35614","35614","","",0,0,0,0,0,0,0,0,1,0,0,,
"310119","34013","35644","150 BERGEN ST, NEWARK, NJ 07103","34003","34017","34031","36005","36047","36061","36079","36081","36085","36087","36119","","","35614","35614","35614","35614","35614","35614","20524","35614","35614","35614","35614","","",1,1,1,0,0,0,0,0,0,0,0,,
"330023","36027","35644","45 READE PLACE, POUGHKEEPSIE, NY 12601","34003","34017","34031","36005","36047","36061","36079","36081","36085","36087","36119","","","35614","35614","35614","35614","35614","35614","20524","35614","35614","35614","35614","","",0,0,0,0,0,0,1,0,0,0,0,,
"330049","36027","35644","6511 SPRINGBROOK AVENUE, RHINEBECK, NY 12572","34003","34017","34031","36005","36047","36061","36079","36081","36085","36087","36119","","","35614","35614","35614","35614","35614","35614","20524","35614","35614","35614","35614","","",0,0,0,0,0,0,1,0,0,0,0,,
"330067","36027","35644","241 NORTH ROAD, POUGHKEEPSIE, NY 12601","34003","34017","34031","36005","36047","36061","36079","36081","36085","36087","36119","","","35614","35614","35614","35614","35614","35614","20524","35614","35614","35614","35614","","",0,0,0,0,0,0,1,0,0,0,0,,
"330126","36071","35644","707 EAST MAIN STREET, MIDDLETOWN, NY 10940","34003","34017","34031","36005","36047","36061","36079","36081","36085","36087","36119","","","35614","35614","35614","35614","35614","35614","20524","35614","35614","35614","35614","","",0,0,1,0,0,0,1,0,0,1,0,,
"330135","36071","35644","160 EAST MAIN STREET, PORT JERVIS, NY 12771","34003","34017","34031","36005","36047","36061","36079","36081","36085","36087","36119","","","35614","35614","35614","35614","35614","35614","20524","35614","35614","35614","35614","","",0,0,1,0,0,0,1,0,0,1,0,,
"330205","36071","35644","15 - 19  MAPLE AVENUE, WARWICK, NY 10990","34003","34017","34031","36005","36047","36061","36079","36081","36085","36087","36119","","","35614","35614","35614","35614","35614","35614","20524","35614","35614","35614","35614","","",0,0,1,0,0,0,1,0,0,1,0,,
"330224","36111","39100","105 MARY'S AVENUE, KINGSTON, NY 12401","36027","36071","","","","","","","","","","","","20524","35614","","","","","","","","","","","",1,1,,,,,,,,,,,
"330264","36071","35644","70 DUBOIS STREET, NEWBURGH, NY 12550","34003","34017","34031","36005","36047","36061","36079","36081","36085","36087","36119","","","35614","35614","35614","35614","35614","35614","20524","35614","35614","35614","35614","","",0,0,1,0,0,0,1,0,0,1,0,,
"340042","37133","48900","317 WESTERN BOULEVARD, JACKSONVILLE, NC 28540","37019","37129","37141","","","","","","","","","","","34820","same","same","","","","","","","","","","",0,0,1,,,,,,,,,,
"340068","37047","48900","500 JEFFERSON ST, WHITEVILLE, NC 28472","37019","37129","37141","","","","","","","","","","","34820","same","same","","","","","","","","","","",1,0,1,,,,,,,,,,
"420085","45051","48900","809 82ND PARKWAY, MYRTLE BEACH, SC 29572","37019","37129","37141","","","","","","","","","","","34820","same","same","","","","","","","","","","",1,0,0,,,,,,,,,,
"510062","54081","16620","306 STANAFORD ROAD, BECKLEY, WV 25801","54005","54015","54039","54043","54079","","","","","","","","","same","same","same","26580","26580","","","","","","","","",1,0,1,0,0,,,,,,,,
"510070","54081","16620","1710 HARPER ROAD, BECKLEY, WV 25801","54005","54015","54039","54043","54079","","","","","","","","","same","same","same","26580","26580","","","","","","","","",1,0,1,0,0,,,,,,,,
